timestamp,market_ticker,market_close_time,shadow_balance_before,shadow_market_pnl,shadow_realized_pnl,shadow_balance_change,shadow_balance_after,shadow_selected_side,shadow_eligible,shadow_skip_reason,shadow_contracts,shadow_average_entry,shadow_cost,shadow_proceeds,shadow_payout,shadow_fees,shadow_exit_method,shadow_fill_model,shadow_simulation_quality,live_execution_enabled,completed_at
2026-08-02T21:45:25.400693+00:00,KXBTC15M-26AUG021745-45,2026-08-02T21:45:25.336078+00:00,43.367015,-5.5500,-5.5500,-5.5500,37.817015,no,True,,30.0,0.2,6.00,0.4500,0,0,absolute_stop,conservative_trade_through,conservative_approximation,False,2026-08-02T21:45:25.400701+00:00
2026-08-02T22:00:23.895390+00:00,KXBTC15M-26AUG021800-00,2026-08-02T22:00:23.829277+00:00,37.817015,0,0,0,37.817015,no,False,shadow_two_consecutive_completed_losses,0,,0,0,0,0,settlement,conservative_trade_through,unavailable,True,2026-08-02T22:00:23.895396+00:00
2026-08-02T22:20:49.146308+00:00,KXBTC15M-26AUG021815-15,2026-08-02T22:20:49.075884+00:00,37.817015,0,0,0,37.817015,yes,False,shadow_two_consecutive_completed_losses,0,,0,0,0,0,settlement,conservative_trade_through,unavailable,True,2026-08-02T22:20:49.146315+00:00
2026-08-02T22:35:55.213564+00:00,KXBTC15M-26AUG021830-30,2026-08-02T22:35:55.047997+00:00,37.817015,0,0,0,37.817015,no,True,,0,,0,0,0,0,settlement,conservative_trade_through,conservative_approximation,True,2026-08-02T22:35:55.213571+00:00
2026-08-02T22:50:59.529018+00:00,KXBTC15M-26AUG021845-45,2026-08-02T22:50:59.464148+00:00,37.817015,-4.77000,-4.77000,-4.77000,33.047015,yes,True,,30.00,0.2,6.000,1.23000,0,0,absolute_stop,conservative_trade_through,conservative_approximation,True,2026-08-02T22:50:59.529025+00:00
2026-08-02T23:06:35.646495+00:00,KXBTC15M-26AUG021900-00,2026-08-02T23:06:35.580625+00:00,33.047015,0,0,0,33.047015,yes,False,shadow_two_consecutive_completed_losses,0,,0,0,0,0,settlement,conservative_trade_through,unavailable,True,2026-08-02T23:06:35.646503+00:00
2026-08-02T23:21:05.621908+00:00,KXBTC15M-26AUG021915-15,2026-08-02T23:21:05.556825+00:00,33.047015,0,0,0,33.047015,yes,False,shadow_two_consecutive_completed_losses,0,,0,0,0,0,settlement,conservative_trade_through,unavailable,True,2026-08-02T23:21:05.621914+00:00
2026-08-02T23:36:02.151372+00:00,KXBTC15M-26AUG021930-30,2026-08-02T23:36:02.084397+00:00,33.047015,0,0,0,33.047015,yes,True,,0,,0,0,0,0,settlement,conservative_trade_through,conservative_approximation,True,2026-08-02T23:36:02.151379+00:00
2026-08-02T23:50:53.935301+00:00,KXBTC15M-26AUG021945-45,2026-08-02T23:50:53.867713+00:00,33.047015,13.20,13.20,13.20,46.247015,no,True,,18.0,0.2666666666666666666666666667,4.80,0,18.0,0,settlement,conservative_trade_through,conservative_approximation,True,2026-08-02T23:50:53.935307+00:00
2026-08-03T00:06:01.142480+00:00,KXBTC15M-26AUG022000-00,2026-08-03T00:06:01.083515+00:00,46.247015,6.00,6.00,6.00,52.247015,yes,True,,9.0,0.3333333333333333333333333333,3.00,0,9.0,0,settlement,conservative_trade_through,conservative_approximation,True,2026-08-03T00:06:01.142487+00:00
2026-08-03T00:20:58.766192+00:00,KXBTC15M-26AUG022015-15,2026-08-03T00:20:58.707965+00:00,52.247015,0,0,0,52.247015,no,True,,0,,0,0,0,0,settlement,conservative_trade_through,conservative_approximation,False,2026-08-03T00:20:58.766199+00:00
2026-08-03T00:36:00.643973+00:00,KXBTC15M-26AUG022030-30,2026-08-03T00:36:00.588455+00:00,52.247015,-4.500,-4.500,-4.500,47.747015,yes,True,,30.0,0.2,6.00,1.500,0,0,absolute_stop,conservative_trade_through,conservative_approximation,False,2026-08-03T00:36:00.643979+00:00
2026-08-03T00:51:04.877907+00:00,KXBTC15M-26AUG022045-45,2026-08-03T00:51:04.813238+00:00,47.747015,0,0,0,47.747015,yes,True,,0,,0,0,0,0,settlement,conservative_trade_through,conservative_approximation,False,2026-08-03T00:51:04.877912+00:00
2026-08-03T01:05:53.336384+00:00,KXBTC15M-26AUG022100-00,2026-08-03T01:05:53.280669+00:00,47.747015,1.80,1.80,1.80,49.547015,no,True,,3.0,0.4,1.20,0,3.0,0,settlement,conservative_trade_through,conservative_approximation,False,2026-08-03T01:05:53.336391+00:00
2026-08-03T01:20:48.864395+00:00,KXBTC15M-26AUG022115-15,2026-08-03T01:20:48.809052+00:00,49.547015,-4.6200,-4.6200,-4.6200,44.927015,yes,True,,30.0,0.2,6.00,1.3800,0,0,absolute_stop,conservative_trade_through,conservative_approximation,False,2026-08-03T01:20:48.864402+00:00
2026-08-03T01:35:53.704596+00:00,KXBTC15M-26AUG022130-30,2026-08-03T01:35:53.645988+00:00,44.927015,-4.6500,-4.6500,-4.6500,40.277015,yes,True,,30.0,0.2,6.00,1.3500,0,0,absolute_stop,conservative_trade_through,conservative_approximation,False,2026-08-03T01:35:53.704602+00:00
2026-08-03T01:45:22.215032+00:00,KXBTC15M-26AUG022145-45,2026-08-03T01:45:22.156543+00:00,40.277015,0,0,0,40.277015,yes,False,shadow_two_consecutive_completed_losses,0,,0,0,0,0,settlement,conservative_trade_through,unavailable,False,2026-08-03T01:45:22.215038+00:00
2026-08-03T02:00:13.245255+00:00,KXBTC15M-26AUG022200-00,2026-08-03T02:00:13.183554+00:00,40.277015,0,0,0,40.277015,no,False,shadow_two_consecutive_completed_losses,0,,0,0,0,0,settlement,conservative_trade_through,unavailable,False,2026-08-03T02:00:13.245261+00:00
2026-08-03T02:15:18.991159+00:00,KXBTC15M-26AUG022215-15,2026-08-03T02:15:18.933131+00:00,40.277015,-4.8300,-4.8300,-4.8300,35.447015,yes,True,,30.0,0.2,6.00,1.1700,0,0,absolute_stop,conservative_trade_through,conservative_approximation,False,2026-08-03T02:15:18.991164+00:00
2026-08-03T02:30:19.153273+00:00,KXBTC15M-26AUG022230-30,2026-08-03T02:30:19.040490+00:00,35.447015,0,0,0,35.447015,yes,False,shadow_two_consecutive_completed_losses,0,,0,0,0,0,settlement,conservative_trade_through,unavailable,True,2026-08-03T02:30:19.153280+00:00
2026-08-03T02:45:25.153736+00:00,KXBTC15M-26AUG022245-45,2026-08-03T02:45:25.094795+00:00,35.447015,0,0,0,35.447015,yes,False,shadow_two_consecutive_completed_losses,0,,0,0,0,0,settlement,conservative_trade_through,unavailable,True,2026-08-03T02:45:25.153743+00:00
2026-08-03T03:00:20.587852+00:00,KXBTC15M-26AUG022300-00,2026-08-03T03:00:20.530846+00:00,35.447015,0,0,0,35.447015,no,True,,0,,0,0,0,0,settlement,conservative_trade_through,conservative_approximation,True,2026-08-03T03:00:20.587861+00:00
2026-08-03T03:15:11.492071+00:00,KXBTC15M-26AUG022315-15,2026-08-03T03:15:11.423766+00:00,35.447015,-5.2800,-5.2800,-5.2800,30.167015,yes,True,,30.0,0.2,6.00,0.7200,0,0,absolute_stop,conservative_trade_through,conservative_approximation,True,2026-08-03T03:15:11.492077+00:00
2026-08-03T03:30:15.472208+00:00,KXBTC15M-26AUG022330-30,2026-08-03T03:30:15.420510+00:00,30.167015,0,0,0,30.167015,yes,False,shadow_two_consecutive_completed_losses,0,,0,0,0,0,settlement,conservative_trade_through,unavailable,True,2026-08-03T03:30:15.472214+00:00
2026-08-03T03:45:21.081937+00:00,KXBTC15M-26AUG022345-45,2026-08-03T03:45:21.020262+00:00,30.167015,0,0,0,30.167015,yes,False,shadow_two_consecutive_completed_losses,0,,0,0,0,0,settlement,conservative_trade_through,unavailable,True,2026-08-03T03:45:21.081945+00:00
2026-08-03T04:00:23.500957+00:00,KXBTC15M-26AUG030000-00,2026-08-03T04:00:23.439403+00:00,30.167015,-4.5900,-4.5900,-4.5900,25.577015,yes,True,,30.0,0.2,6.00,1.4100,0,0,absolute_stop,conservative_trade_through,conservative_approximation,True,2026-08-03T04:00:23.500963+00:00
2026-08-03T04:15:18.937310+00:00,KXBTC15M-26AUG030015-15,2026-08-03T04:15:18.881678+00:00,25.577015,0,0,0,25.577015,yes,False,shadow_two_consecutive_completed_losses,0,,0,0,0,0,settlement,conservative_trade_through,unavailable,True,2026-08-03T04:15:18.937316+00:00
2026-08-03T04:30:13.070521+00:00,KXBTC15M-26AUG030030-30,2026-08-03T04:30:13.015696+00:00,25.577015,0,0,0,25.577015,yes,False,shadow_two_consecutive_completed_losses,0,,0,0,0,0,settlement,conservative_trade_through,unavailable,True,2026-08-03T04:30:13.070528+00:00
2026-08-03T04:45:16.315027+00:00,KXBTC15M-26AUG030045-45,2026-08-03T04:45:16.261958+00:00,25.577015,-4.5600,-4.5600,-4.5600,21.017015,no,True,,30.0,0.2,6.00,1.4400,0,0,absolute_stop,conservative_trade_through,conservative_approximation,True,2026-08-03T04:45:16.315034+00:00
2026-08-03T05:00:23.908885+00:00,KXBTC15M-26AUG030100-00,2026-08-03T05:00:23.853540+00:00,21.017015,0,0,0,21.017015,yes,False,shadow_two_consecutive_completed_losses,0,,0,0,0,0,settlement,conservative_trade_through,unavailable,True,2026-08-03T05:00:23.908891+00:00
2026-08-03T05:15:22.413194+00:00,KXBTC15M-26AUG030115-15,2026-08-03T05:15:22.340046+00:00,21.017015,0,0,0,21.017015,yes,False,shadow_two_consecutive_completed_losses,0,,0,0,0,0,settlement,conservative_trade_through,unavailable,True,2026-08-03T05:15:22.413200+00:00
2026-08-03T05:30:22.478016+00:00,KXBTC15M-26AUG030130-30,2026-08-03T05:30:22.448165+00:00,21.017015,1.80,1.80,1.80,22.817015,no,True,,3.0,0.4,1.20,0,3.0,0,settlement,conservative_trade_through,conservative_approximation,True,2026-08-03T05:30:22.478023+00:00
2026-08-03T05:45:24.020243+00:00,KXBTC15M-26AUG030145-45,2026-08-03T05:45:23.990941+00:00,22.817015,-4.9200,-4.9200,-4.9200,17.897015,yes,True,,30.0,0.2,6.00,1.0800,0,0,absolute_stop,conservative_trade_through,conservative_approximation,True,2026-08-03T05:45:24.020250+00:00
2026-08-03T06:00:19.088586+00:00,KXBTC15M-26AUG030200-00,2026-08-03T06:00:19.058561+00:00,17.897015,13.20,13.20,13.20,31.097015,yes,True,,18.0,0.2666666666666666666666666667,4.80,0,18.0,0,settlement,conservative_trade_through,conservative_approximation,True,2026-08-03T06:00:19.088593+00:00
2026-08-03T06:15:25.138778+00:00,KXBTC15M-26AUG030215-15,2026-08-03T06:15:25.109320+00:00,31.097015,-4.92000,-4.92000,-4.92000,26.177015,no,True,,30.00,0.2,6.000,1.08000,0,0,absolute_stop,conservative_trade_through,conservative_approximation,True,2026-08-03T06:15:25.138785+00:00
2026-08-03T06:30:24.562023+00:00,KXBTC15M-26AUG030230-30,2026-08-03T06:30:24.532367+00:00,26.177015,0,0,0,26.177015,no,True,,0,,0,0,0,0,settlement,conservative_trade_through,conservative_approximation,True,2026-08-03T06:30:24.562029+00:00
2026-08-03T06:45:18.872124+00:00,KXBTC15M-26AUG030245-45,2026-08-03T06:45:18.844181+00:00,26.177015,-4.500,-4.500,-4.500,21.677015,yes,True,,30.0,0.2,6.00,1.500,0,0,absolute_stop,conservative_trade_through,conservative_approximation,True,2026-08-03T06:45:18.872130+00:00
2026-08-03T07:00:22.719901+00:00,KXBTC15M-26AUG030300-00,2026-08-03T07:00:22.691673+00:00,21.677015,0,0,0,21.677015,yes,False,shadow_two_consecutive_completed_losses,0,,0,0,0,0,settlement,conservative_trade_through,unavailable,True,2026-08-03T07:00:22.719908+00:00
2026-08-03T07:15:24.968777+00:00,KXBTC15M-26AUG030315-15,2026-08-03T07:15:24.942395+00:00,21.677015,0,0,0,21.677015,yes,False,shadow_two_consecutive_completed_losses,0,,0,0,0,0,settlement,conservative_trade_through,unavailable,True,2026-08-03T07:15:24.968784+00:00
2026-08-03T07:30:16.655612+00:00,KXBTC15M-26AUG030330-30,2026-08-03T07:30:16.600307+00:00,21.677015,-4.56000,-4.56000,-4.56000,17.117015,no,True,,30.00,0.2,6.000,1.44000,0,0,absolute_stop,conservative_trade_through,conservative_approximation,True,2026-08-03T07:30:16.655619+00:00
2026-08-03T07:45:16.938662+00:00,KXBTC15M-26AUG030345-45,2026-08-03T07:45:16.909065+00:00,17.117015,0,0,0,17.117015,no,False,shadow_two_consecutive_completed_losses,0,,0,0,0,0,settlement,conservative_trade_through,unavailable,True,2026-08-03T07:45:16.938669+00:00
2026-08-03T08:00:40.896456+00:00,KXBTC15M-26AUG030400-00,2026-08-03T08:00:40.867606+00:00,17.117015,0,0,0,17.117015,yes,False,shadow_two_consecutive_completed_losses,0,,0,0,0,0,settlement,conservative_trade_through,unavailable,True,2026-08-03T08:00:40.896463+00:00
2026-08-03T08:15:20.398807+00:00,KXBTC15M-26AUG030415-15,2026-08-03T08:15:20.355968+00:00,17.117015,-4.92000,-4.92000,-4.92000,12.197015,yes,True,,30.00,0.2,6.000,1.08000,0,0,absolute_stop,conservative_trade_through,conservative_approximation,True,2026-08-03T08:15:20.398814+00:00
2026-08-03T08:31:06.892639+00:00,KXBTC15M-26AUG030430-30,2026-08-03T08:31:06.863749+00:00,12.197015,0,0,0,12.197015,yes,False,shadow_two_consecutive_completed_losses,0,,0,0,0,0,settlement,conservative_trade_through,unavailable,True,2026-08-03T08:31:06.892646+00:00
2026-08-03T08:46:33.385631+00:00,KXBTC15M-26AUG030445-45,2026-08-03T08:46:33.357029+00:00,12.197015,0,0,0,12.197015,yes,False,shadow_two_consecutive_completed_losses,0,,0,0,0,0,settlement,conservative_trade_through,unavailable,True,2026-08-03T08:46:33.385637+00:00
2026-08-03T09:00:29.644773+00:00,KXBTC15M-26AUG030500-00,2026-08-03T09:00:29.614137+00:00,12.197015,-4.8000,-4.8000,-4.8000,7.397015,no,True,,30.00,0.2,6.000,1.2000,0,0,absolute_stop,conservative_trade_through,conservative_approximation,True,2026-08-03T09:00:29.644779+00:00
2026-08-03T09:15:18.702254+00:00,KXBTC15M-26AUG030515-15,2026-08-03T09:15:18.676818+00:00,7.397015,0,0,0,7.397015,no,False,shadow_two_consecutive_completed_losses,0,,0,0,0,0,settlement,conservative_trade_through,unavailable,True,2026-08-03T09:15:18.702260+00:00
2026-08-03T09:31:18.213552+00:00,KXBTC15M-26AUG030530-30,2026-08-03T09:31:18.187292+00:00,7.397015,0,0,0,7.397015,no,False,shadow_two_consecutive_completed_losses,0,,0,0,0,0,settlement,conservative_trade_through,unavailable,True,2026-08-03T09:31:18.213559+00:00
2026-08-03T09:45:16.029373+00:00,KXBTC15M-26AUG030545-45,2026-08-03T09:45:16.001530+00:00,7.397015,-5.43000,-5.43000,-5.43000,1.967015,no,True,,30.00,0.2,6.000,0.57000,0,0,absolute_stop,conservative_trade_through,conservative_approximation,True,2026-08-03T09:45:16.029379+00:00
2026-08-03T10:00:14.601819+00:00,KXBTC15M-26AUG030600-00,2026-08-03T10:00:14.554082+00:00,1.967015,0,0,0,1.967015,no,False,shadow_two_consecutive_completed_losses,0,,0,0,0,0,settlement,conservative_trade_through,unavailable,True,2026-08-03T10:00:14.601826+00:00
2026-08-03T10:15:12.724418+00:00,KXBTC15M-26AUG030615-15,2026-08-03T10:15:12.694551+00:00,1.967015,0,0,0,1.967015,no,False,shadow_two_consecutive_completed_losses,0,,0,0,0,0,settlement,conservative_trade_through,unavailable,True,2026-08-03T10:15:12.724456+00:00
2026-08-03T11:15:24.990476+00:00,KXBTC15M-26AUG030715-15,2026-08-03T11:15:24.921906+00:00,1.967015,0,0,0,1.967015,no,True,,0,,0,0,0,0,settlement,conservative_trade_through,conservative_approximation,True,2026-08-03T11:15:24.990483+00:00
2026-08-03T11:30:25.433298+00:00,KXBTC15M-26AUG030730-30,2026-08-03T11:30:25.368693+00:00,1.967015,0,0,0,1.967015,yes,True,,0,,0,0,0,0,settlement,conservative_trade_through,conservative_approximation,True,2026-08-03T11:30:25.433304+00:00
2026-08-03T11:45:24.822115+00:00,KXBTC15M-26AUG030745-45,2026-08-03T11:45:24.755849+00:00,1.967015,24.000,24.000,24.000,25.967015,no,True,,30.00,0.2,6.000,0,30.00,0,settlement,conservative_trade_through,conservative_approximation,True,2026-08-03T11:45:24.822120+00:00
2026-08-03T12:00:16.455973+00:00,KXBTC15M-26AUG030800-00,2026-08-03T12:00:16.389286+00:00,25.967015,-4.5000,-4.5000,-4.5000,21.467015,yes,True,,30.00,0.2,6.000,1.5000,0,0,absolute_stop,conservative_trade_through,conservative_approximation,False,2026-08-03T12:00:16.455979+00:00
2026-08-03T12:15:16.733977+00:00,KXBTC15M-26AUG030815-15,2026-08-03T12:15:16.670714+00:00,21.467015,-4.53000,-4.53000,-4.53000,16.937015,yes,True,,30.00,0.2,6.000,1.47000,0,0,absolute_stop,conservative_trade_through,conservative_approximation,False,2026-08-03T12:15:16.733983+00:00
2026-08-03T12:30:23.066729+00:00,KXBTC15M-26AUG030830-30,2026-08-03T12:30:23.001384+00:00,16.937015,0,0,0,16.937015,yes,False,shadow_two_consecutive_completed_losses,0,,0,0,0,0,settlement,conservative_trade_through,unavailable,False,2026-08-03T12:30:23.066736+00:00
2026-08-03T12:45:22.065274+00:00,KXBTC15M-26AUG030845-45,2026-08-03T12:45:22.001699+00:00,16.937015,0,0,0,16.937015,no,False,shadow_two_consecutive_completed_losses,0,,0,0,0,0,settlement,conservative_trade_through,unavailable,False,2026-08-03T12:45:22.065281+00:00
2026-08-03T13:00:20.653139+00:00,KXBTC15M-26AUG030900-00,2026-08-03T13:00:20.588779+00:00,16.937015,6.00,6.00,6.00,22.937015,no,True,,9.0,0.3333333333333333333333333333,3.00,0,9.0,0,settlement,conservative_trade_through,conservative_approximation,False,2026-08-03T13:00:20.653145+00:00
2026-08-03T13:15:20.857866+00:00,KXBTC15M-26AUG030915-15,2026-08-03T13:15:20.793019+00:00,22.937015,0,0,0,22.937015,yes,True,,0,,0,0,0,0,settlement,conservative_trade_through,conservative_approximation,False,2026-08-03T13:15:20.857872+00:00
2026-08-03T13:30:27.013763+00:00,KXBTC15M-26AUG030930-30,2026-08-03T13:30:26.947557+00:00,22.937015,-4.5300,-4.5300,-4.5300,18.407015,no,True,,30.0,0.2,6.00,1.4700,0,0,absolute_stop,conservative_trade_through,conservative_approximation,False,2026-08-03T13:30:27.013769+00:00
2026-08-03T13:45:22.518020+00:00,KXBTC15M-26AUG030945-45,2026-08-03T13:45:22.450006+00:00,18.407015,13.20,13.20,13.20,31.607015,yes,True,,18.0,0.2666666666666666666666666667,4.80,0,18.0,0,settlement,conservative_trade_through,conservative_approximation,False,2026-08-03T13:45:22.518027+00:00
2026-08-03T14:00:21.254739+00:00,KXBTC15M-26AUG031000-00,2026-08-03T14:00:21.190259+00:00,31.607015,-4.77000,-4.77000,-4.77000,26.837015,no,True,,30.00,0.2,6.000,1.23000,0,0,absolute_stop,conservative_trade_through,conservative_approximation,False,2026-08-03T14:00:21.254746+00:00
2026-08-03T14:15:12.590508+00:00,KXBTC15M-26AUG031015-15,2026-08-03T14:15:12.421100+00:00,26.837015,13.20,13.20,13.20,40.037015,no,True,,18.0,0.2666666666666666666666666667,4.80,0,18.0,0,settlement,conservative_trade_through,conservative_approximation,False,2026-08-03T14:15:12.590515+00:00
2026-08-03T14:30:19.990521+00:00,KXBTC15M-26AUG031030-30,2026-08-03T14:30:19.823671+00:00,40.037015,17.700,17.700,17.700,57.737015,yes,True,,23.00,0.2304347826086956521739130435,5.300,0,23.00,0,settlement,conservative_trade_through,conservative_approximation,False,2026-08-03T14:30:19.990527+00:00
2026-08-03T14:45:20.884690+00:00,KXBTC15M-26AUG031045-45,2026-08-03T14:45:20.818427+00:00,57.737015,-4.65000,-4.65000,-4.65000,53.087015,no,True,,30.00,0.2,6.000,1.35000,0,0,absolute_stop,conservative_trade_through,conservative_approximation,False,2026-08-03T14:45:20.884697+00:00
2026-08-03T15:00:22.898626+00:00,KXBTC15M-26AUG031100-00,2026-08-03T15:00:22.834801+00:00,53.087015,-4.5000,-4.5000,-4.5000,48.587015,no,True,,30.00,0.2,6.000,1.5000,0,0,absolute_stop,conservative_trade_through,conservative_approximation,False,2026-08-03T15:00:22.898634+00:00
2026-08-03T15:15:16.969091+00:00,KXBTC15M-26AUG031115-15,2026-08-03T15:15:16.800767+00:00,48.587015,0,0,0,48.587015,no,False,shadow_two_consecutive_completed_losses,0,,0,0,0,0,settlement,conservative_trade_through,unavailable,False,2026-08-03T15:15:16.969096+00:00
2026-08-03T15:30:18.392913+00:00,KXBTC15M-26AUG031130-30,2026-08-03T15:30:18.320510+00:00,48.587015,0,0,0,48.587015,yes,False,shadow_two_consecutive_completed_losses,0,,0,0,0,0,settlement,conservative_trade_through,unavailable,False,2026-08-03T15:30:18.392918+00:00
2026-08-03T15:45:17.337717+00:00,KXBTC15M-26AUG031145-45,2026-08-03T15:45:17.266173+00:00,48.587015,0,0,0,48.587015,yes,True,,0,,0,0,0,0,settlement,conservative_trade_through,conservative_approximation,False,2026-08-03T15:45:17.337723+00:00
2026-08-03T16:00:20.291870+00:00,KXBTC15M-26AUG031200-00,2026-08-03T16:00:20.223705+00:00,48.587015,1.800,1.800,1.800,50.387015,no,True,,3.00,0.4,1.200,0,3.00,0,settlement,conservative_trade_through,conservative_approximation,False,2026-08-03T16:00:20.291876+00:00
2026-08-03T16:15:24.992069+00:00,KXBTC15M-26AUG031215-15,2026-08-03T16:15:24.927421+00:00,50.387015,0,0,0,50.387015,yes,True,,0,,0,0,0,0,settlement,conservative_trade_through,conservative_approximation,False,2026-08-03T16:15:24.992076+00:00
2026-08-03T16:30:18.894263+00:00,KXBTC15M-26AUG031230-30,2026-08-03T16:30:18.855108+00:00,50.387015,-4.7100,-4.7100,-4.7100,45.677015,no,True,,30.0,0.2,6.00,1.2900,0,0,absolute_stop,conservative_trade_through,conservative_approximation,False,2026-08-03T16:30:18.894268+00:00
2026-08-03T16:45:23.619582+00:00,KXBTC15M-26AUG031245-45,2026-08-03T16:45:23.585512+00:00,45.677015,0,0,0,45.677015,no,True,,0,,0,0,0,0,settlement,conservative_trade_through,conservative_approximation,False,2026-08-03T16:45:23.619588+00:00
2026-08-03T17:00:24.874348+00:00,KXBTC15M-26AUG031300-00,2026-08-03T17:00:24.840587+00:00,45.677015,6.00,6.00,6.00,51.677015,yes,True,,9.0,0.3333333333333333333333333333,3.00,0,9.0,0,settlement,conservative_trade_through,conservative_approximation,False,2026-08-03T17:00:24.874353+00:00
2026-08-03T17:15:20.179881+00:00,KXBTC15M-26AUG031315-15,2026-08-03T17:15:20.145361+00:00,51.677015,-4.74000,-4.74000,-4.74000,46.937015,no,True,,30.00,0.2,6.000,1.26000,0,0,absolute_stop,conservative_trade_through,conservative_approximation,False,2026-08-03T17:15:20.179887+00:00
2026-08-03T17:30:16.580393+00:00,KXBTC15M-26AUG031330-30,2026-08-03T17:30:16.546160+00:00,46.937015,-4.71000,-4.71000,-4.71000,42.227015,no,True,,30.00,0.2,6.000,1.29000,0,0,absolute_stop,conservative_trade_through,conservative_approximation,False,2026-08-03T17:30:16.580399+00:00
2026-08-03T17:45:17.494659+00:00,KXBTC15M-26AUG031345-45,2026-08-03T17:45:17.461289+00:00,42.227015,0,0,0,42.227015,yes,False,shadow_two_consecutive_completed_losses,0,,0,0,0,0,settlement,conservative_trade_through,unavailable,False,2026-08-03T17:45:17.494670+00:00
2026-08-03T18:00:19.180073+00:00,KXBTC15M-26AUG031400-00,2026-08-03T18:00:19.146609+00:00,42.227015,0,0,0,42.227015,no,False,shadow_two_consecutive_completed_losses,0,,0,0,0,0,settlement,conservative_trade_through,unavailable,False,2026-08-03T18:00:19.180078+00:00
2026-08-03T18:15:27.742108+00:00,KXBTC15M-26AUG031415-15,2026-08-03T18:15:27.705732+00:00,42.227015,-5.6400,-5.6400,-5.6400,36.587015,no,True,,30.0,0.2,6.00,0.3600,0,0,absolute_stop,conservative_trade_through,conservative_approximation,False,2026-08-03T18:15:27.742113+00:00
2026-08-03T18:30:24.713785+00:00,KXBTC15M-26AUG031430-30,2026-08-03T18:30:24.675262+00:00,36.587015,0,0,0,36.587015,no,True,,0,,0,0,0,0,settlement,conservative_trade_through,conservative_approximation,False,2026-08-03T18:30:24.713790+00:00
